title,link,spreadsheet
A Midsummer Night's Dream (Annotated),https://docs.google.com/spreadsheets/d/e/2PACX-1vT4-hSjZe4pN0R2-fzmNyc_yrE355W1RgOBmYJ4PF-Lsyo1bKpWVKgwYqGOxGnMvvV41__J66Yjyxa1/pub?output=csv
Romeo and Juliet (Fake Annotated),https://docs.google.com/spreadsheets/d/e/2PACX-1vTqThHhW7kX9GoT37IB8xYUEB4K74gkSBtP9Lri58QelNVTSExuEhzGQZclCFo7hYAUKDOufvCCrjyI/pub?gid=404955959&single=true&output=csv
A Comedy of Errors,https://docs.google.com/spreadsheets/d/e/2PACX-1vR9chdSE55iDnHg6BDAlagvoHnQu34uR7UjIL7OPNfexCeSJ9P0ltcn7VN4bAUTx9Crbu5ZL1lz56L1/pub?output=csv,https://docs.google.com/spreadsheets/d/1Xp2hKPhwY2wFwGkR0NNxZNrOTCZRP_faiHYVdZ2CKVI/copy
A Midsummer nights dream,https://docs.google.com/spreadsheets/d/e/2PACX-1vQSrdyaPTJrCZIPq-VOBI9_zH1IHvS2fyAcIuP1E0Nn8cHmKAjfRgASCnzSIHb1q0EAeZc6yLFAIYy1/pub?output=csv,https://docs.google.com/spreadsheets/d/1WY5jYKPmmVgvpko1Oqi1kIcklkAq8RdjIsldKAQVwGc/edit?usp=drivesdk
A Winters Tale,https://docs.google.com/spreadsheets/d/e/2PACX-1vRSVwXfpDPOoJIDUSQv0kr7o3dnl7HQvye_F5mA_sAceQBfmMRRnwvb5ajY0_9A1z7eBRzewxM_bT4b/pub?output=csv,https://docs.google.com/spreadsheets/d/1XiKWecxlAmO-XcqdxSdD7GrucZk3EA50FbRtuqGsxBc/copy
Alls well that ends well,https://docs.google.com/spreadsheets/d/e/2PACX-1vR6MOcsoe_r7zCzBdrcA1Z7TSLgc5VxUN2pR3Qc2g71zvSIaOICTkZbEA6_kHh5RDP-NniVVcX_mUKt/pub?output=csv,https://docs.google.com/spreadsheets/d/1apIBJPunYjPP1Jio9n90P5ca4OGYhCPe10s5z2Hh0jc/copy
Antony and Cleopatra,https://docs.google.com/spreadsheets/d/e/2PACX-1vTCaokneDv4MXGHPyOI5ghX1fWHXQF7b1IMew2oc-utSRbymJHxs0PrHwCCByG9u6OMw1Xr4032zKr8/pub?output=csv,https://docs.google.com/spreadsheets/d/1JvE0tRsnDOTKRXSgDtniYtDdhR4FvD0ANXpwr6CPD5s/copy
As you like it,https://docs.google.com/spreadsheets/d/e/2PACX-1vQSTbI3tieqZWwqZrJmEaU2YUdohEcXdtP_hfjGzsIP3ybF4Dn7L8l-vl4AopcsqMcvSvk1KxWzka8P/pub?output=csv,https://docs.google.com/spreadsheets/d/1flp2R9NLNEbZj-6tisu9EAAmkCNUdKdlcgLHVkBT5BY/copy
Coriolanus,https://docs.google.com/spreadsheets/d/e/2PACX-1vTyzPMA_Thk_p-jIH1u4okZkHWScqK4ZTzL6fkB8NsaXerZ6uznF2Rx5NWUazKq5fUG1WXFLAD2dH_T/pub?output=csv,https://docs.google.com/spreadsheets/d/1f4K5KabLYzjRcYBFskFJ8rsQLhui-zntk8WRDwBaU7A/copy
Cymbeline,https://docs.google.com/spreadsheets/d/e/2PACX-1vRcb5WUwarZYrqBIqPkjPc7QRLn3YYeeWZE5IN7oPcXawIFy-SblTrPtmnvuKFPMXrikshFDd9m2rxz/pub?output=csv,https://docs.google.com/spreadsheets/d/1pxmJPcA_ETAHWN8_GTYMI8kmGH867J54ggWHmh3qi_8/copy
